DATE,BAMLH0A0HYM2
2018-12-17,4.58
2018-12-18,4.72
2018-12-19,4.84
2018-12-20,5.11
2018-12-21,5.22
2018-12-24,5.35
2018-12-25,.
2018-12-26,5.37
2018-12-27,5.38
2018-12-28,5.30
2018-12-31,5.33
2019-01-01,.
2019-01-02,5.35
2019-01-03,5.44
2019-01-04,5.05
2019-01-07,4.83
2019-01-08,4.65
2019-01-09,4.52
2019-01-10,4.54
2019-01-11,4.55
2019-01-14,4.60
2019-01-15,4.55
2019-01-16,4.44
2019-01-17,4.40
2019-01-18,4.27
2019-01-21,4.27
2019-01-22,4.41
2019-01-23,4.39
2019-01-24,4.45
2019-01-25,4.34
2019-01-28,4.41
2019-01-29,4.40
2019-01-30,4.36
2019-01-31,4.37
2019-02-01,4.29
2019-02-04,4.25
2019-02-05,4.15
2019-02-06,4.13
2019-02-07,4.29
