,DATE,CCI
194,1970-07-14,99.68928000000001
195,1970-07-15,99.73572
196,1970-07-16,99.88663000000001
197,1970-07-17,100.0799
198,1970-07-18,100.219
199,1970-07-19,100.2278
200,1970-07-20,100.1586
201,1970-07-21,100.0796
202,1970-07-22,100.039
203,1970-07-23,100.0397
204,1970-07-24,100.0837
205,1970-07-25,100.1751
206,1970-07-26,100.2803
207,1970-07-27,100.3565
208,1970-07-28,100.3664
209,1970-07-29,100.3221
210,1970-07-30,100.2289
211,1970-07-31,100.0829
212,1970-08-01,99.91779
213,1970-08-02,99.77286
214,1970-08-03,99.67995
215,1970-08-04,99.63031
216,1970-08-05,99.59777
217,1970-08-06,99.51876
218,1970-08-07,99.3829
219,1970-08-08,99.38165
220,1970-08-09,99.40549
221,1970-08-10,99.37021
222,1970-08-11,99.34421999999999
223,1970-08-12,99.24691999999999
224,1970-08-13,99.15342
225,1970-08-14,98.92734
226,1970-08-15,98.54653
227,1970-08-16,98.20145
228,1970-08-17,98.17648
229,1970-08-18,98.16139
230,1970-08-19,97.97310999999999
231,1970-08-20,97.77988
232,1970-08-21,97.6508
233,1970-08-22,97.47028
234,1970-08-23,97.31097
235,1970-08-24,97.34725
236,1970-08-25,97.38725
237,1970-08-26,97.31282
238,1970-08-27,97.29504
239,1970-08-28,97.33438000000001
240,1970-08-29,97.41788000000001
241,1970-08-30,97.21264000000001
242,1970-08-31,96.67918
243,1970-09-01,96.26510999999999
244,1970-09-02,96.23066999999999
245,1970-09-03,96.62144
246,1970-09-04,97.18661
247,1970-09-05,97.80122
248,1970-09-06,98.31918
249,1970-09-07,98.53934
250,1970-09-08,98.43086
251,1970-09-09,98.06403
252,1970-09-10,97.91623
253,1970-09-11,97.82176
254,1970-09-12,97.92107
255,1970-09-13,98.23257
256,1970-09-14,98.5068
257,1970-09-15,98.60029
258,1970-09-16,98.65423
259,1970-09-17,98.62931999999999
260,1970-09-18,98.36801
261,1970-09-19,97.97944
262,1970-09-20,97.62455
263,1970-09-21,97.57943
264,1970-09-22,97.68431
265,1970-09-23,97.59772
266,1970-09-24,97.46979
267,1970-09-25,97.50615
268,1970-09-26,97.57327
269,1970-09-27,97.56855
270,1970-09-28,97.58555
271,1970-09-29,97.70959
272,1970-09-30,97.96596
273,1970-10-01,98.19582
274,1970-10-02,98.25284
275,1970-10-03,98.24951999999999
276,1970-10-04,98.34921999999999
277,1970-10-05,98.74618000000001
278,1970-10-06,99.39166
279,1970-10-07,100.0848
280,1970-10-08,100.5471
281,1970-10-09,100.6936
282,1970-10-10,100.6581
283,1970-10-11,100.5189
284,1970-10-12,100.4044
285,1970-10-13,100.411
286,1970-10-14,100.602
287,1970-10-15,100.9308
288,1970-10-16,101.2593
289,1970-10-17,101.3892
290,1970-10-18,101.4184
291,1970-10-19,101.29799999999999
292,1970-10-20,101.2209
293,1970-10-21,101.1731
294,1970-10-22,101.2431
295,1970-10-23,101.3677
296,1970-10-24,101.39
297,1970-10-25,101.2249
298,1970-10-26,101.0461
299,1970-10-27,100.9168
300,1970-10-28,100.8988
301,1970-10-29,100.8566
302,1970-10-30,100.8355
303,1970-10-31,100.8366
304,1970-11-01,100.8376
305,1970-11-02,100.8968
306,1970-11-03,100.8268
307,1970-11-04,100.6807
308,1970-11-05,100.5322
309,1970-11-06,100.4358
310,1970-11-07,100.5402
311,1970-11-08,100.7551
312,1970-11-09,100.9372
313,1970-11-10,101.024
314,1970-11-11,101.0487
315,1970-11-12,101.0883
316,1970-11-13,101.1465
317,1970-11-14,101.2411
318,1970-11-15,101.1838
319,1970-11-16,101.0079
320,1970-11-17,100.84
321,1970-11-18,100.7503
322,1970-11-19,100.5727
323,1970-11-20,100.4236
324,1970-11-21,100.3921
325,1970-11-22,100.4216
326,1970-11-23,100.493
327,1970-11-24,100.5711
328,1970-11-25,100.6033
329,1970-11-26,100.67399999999999
330,1970-11-27,100.7746
331,1970-11-28,100.7791
332,1970-11-29,100.5999
333,1970-11-30,100.2635
334,1970-12-01,99.99741
335,1970-12-02,100.0672
336,1970-12-03,100.3222
337,1970-12-04,100.5555
338,1970-12-05,100.7135
339,1970-12-06,100.756
